Entity,Code,2014 Happiness Score,2015 Happiness Score,2016 Happiness Score
Albania,ALB,58.6854476928711,62.0379638671875,59.073543548584
Austria,AUT,90.076301574707,86.3810806274414,84.68896484375
Belgium,BEL,91.3538589477539,89.4634628295898,91.5009231567383
Bulgaria,BGR,45.1349601745605,45.6500587463379,48.3908348083496
Croatia,HRV,66.6281356811523,72.0734100341797,70.9655151367188
Cyprus,CYP,80.7999954223633,79.9021224975586,80.5402374267578
Czechia,CZE,82.3310089111328,83.281982421875,86.1184005737305
Denmark,DNK,97.3645172119141,98.2138977050781,97.2669372558594
Estonia,EST,77.6203384399414,79.3409957885742,80.2544708251953
European Union,,79.7953491210938,80.6660614013672,80.7278518676758
Finland,FIN,,94.5475769042969,94.7043075561523
France,FRA,,85.5029449462891,84.0659408569336
Germany,DEU,,91.6832656860352,90.3242111206055
Greece,GRC,,41.2013397216797,37.9585380554199
Hungary,HUN,,65.9295349121094,63.8436088562012
Ireland,IRL,,92.7900466918945,94.5261688232422
Italy,ITA,,64.6409301757813,65.2102584838867
Latvia,LVA,,71.3895111083984,74.2784042358398
Lithuania,LTU,,74.7007751464844,67.8564682006836
Luxembourg,LUX,,95.055534362793,95.3410720825195
Malta,MLT,,92.2465209960938,93.4562301635742
Montenegro,MNE,,59.1728935241699,55.7664527893066
Netherlands,NLD,,95.7222671508789,96.5043792724609
North Macedonia,MKD,,61.9592437744141,61.6240272521973
Poland,POL,,82.1701736450195,82.4343414306641
Portugal,PRT,,54.7890663146973,64.5956649780273
Romania,ROU,,58.2407341003418,58.8768730163574
Serbia,SRB,,45.1829032897949,45.8627014160156
Slovakia,SVK,,71.500602722168,75.3757858276367
Slovenia,SVN,,83.7068328857422,88.4939575195313
Spain,ESP,,77.1457061767578,78.1283645629883
Sweden,SWE,,96.3969955444336,96.1840667724609
Turkey,TUR,,65.1614227294922,65.6340408325195
Turkish Cypriot Community,,,51.4457092285156,49.4422836303711
United Kingdom,GBR,,92.5532379150391,93.0587921142578
